type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ACE_128v1	O0	7220	112	1612	2808976	2807936	3742732	3742930	4210364	4210407	4677799	4677909	5145417	5145407	3275615	3275741	4210532	4210638	4678073	4678118	5145595	5145653	5613117	5613206	3743592	3743703	4678247	4678363	5145710	5145889	5613308	5613405	6080777	6080893	4211269	4211382	5145990	5146019	5613502	5613599	6081006	6081101	6548512	6548577	4679037	4679115	5613686	5613767	6081161	6081262	6548695	6548765	7016432	7016591	
AEAD	LWC_ALGO_ACE_128v1	O1	4896	112	1612	750408	749663	999033	999155	1123790	1123834	1248576	1248623	1373151	1373187	874454	874493	1123944	1123988	1248625	1248716	1373220	1373203	1497926	1498040	999190	999307	1248673	1248740	1373242	1373295	1497998	1498090	1622697	1622791	1123981	1124064	1373294	1373358	1497972	1498134	1622748	1622912	1747520	1747614	1248766	1248879	1498093	1498092	1622781	1622894	1747539	1747665	1872321	1872440	
AEAD	LWC_ALGO_ACE_128v1	O2	4796	112	1612	784882	784115	1045047	1045084	1175451	1175571	1305930	1306039	1436458	1436448	914619	914705	1175524	1175640	1306059	1306119	1436526	1436519	1567001	1567048	1045120	1045236	1306081	1306126	1436556	1436645	1567025	1567151	1697508	1697587	1175699	1175802	1436593	1436647	1567056	1567194	1697533	1697715	1828021	1828113	1306189	1306260	1567104	1567256	1697640	1697690	1828033	1828203	1958577	1958737	
AEAD	LWC_ALGO_ACE_128v1	O3	6256	112	1612	783891	783014	1043722	1043607	1174003	1173906	1304334	1304206	1434668	1434494	913440	913341	1174051	1173980	1304343	1304284	1434634	1434650	1564986	1564860	1043740	1043694	1304438	1304363	1434732	1434580	1564997	1564949	1695307	1695241	1174048	1174017	1434667	1434713	1565037	1564921	1695304	1695282	1825619	1825628	1304364	1304383	1565049	1565049	1695373	1695314	1825685	1825637	1955918	1955916	
AEAD	LWC_ALGO_ACE_128v1	Os	4684	112	1612	742966	742195	989082	989047	1112357	1112445	1235878	1235919	1359399	1359436	865696	865741	1112484	1112471	1236007	1236064	1359487	1359528	1482990	1483045	989245	989313	1235965	1236044	1359479	1359577	1483040	1483119	1606534	1606574	1112545	1112627	1359542	1359616	1483003	1483144	1606541	1606671	1730047	1730155	1236101	1236203	1483027	1483179	1606579	1606744	1730100	1730199	1853635	1853712	
AEAD	LWC_ALGO_ACE_128v1	Ofast	6256	112	1612	783894	783000	1043764	1043673	1174008	1173905	1304302	1304199	1434601	1434561	913432	913332	1174035	1174044	1304320	1304340	1434713	1434633	1564994	1564934	1043741	1043687	1304403	1304305	1434721	1434606	1564954	1564948	1695290	1695251	1174104	1174094	1434726	1434686	1565043	1564981	1695312	1695296	1825621	1825596	1304408	1304430	1565059	1565007	1695324	1695257	1825649	1825605	1955940	1955894	
AEAD	LWC_ALGO_ASCON_128av12	O0	14868	112	1612	125905	126798	166922	168003	207768	209012	208354	209583	248986	250374	126823	127808	167847	169076	208763	210030	209286	210597	249984	251316	168081	169160	209160	210498	249796	251232	250378	251716	291306	292804	169076	170230	210096	211442	250724	252242	251302	252802	292237	293749	210329	211596	251190	252644	292043	293594	292566	294155	333484	335170	
AEAD	LWC_ALGO_ASCON_128av12	O1	4288	112	1612	21000	21107	27810	27851	34498	34607	34703	34813	41441	41484	21462	21495	28204	28239	34891	34995	35094	35200	41828	41872	28270	28472	35077	35222	41830	41904	41970	42176	48706	48853	28731	28794	35468	35603	42222	42299	42428	42499	49100	49237	35577	35714	42385	42457	49075	49280	49278	49420	55947	56163	
AEAD	LWC_ALGO_ASCON_128av12	O2	4360	112	1612	21244	21340	28138	28168	34910	35013	35111	35210	41928	41964	21625	21730	28519	28625	35291	35404	35558	35666	42242	42422	28656	28717	35484	35617	42323	42456	42522	42588	49274	49480	29037	29177	35932	36069	42706	42848	42904	42980	49652	49798	35970	36106	42866	43000	49637	49780	49840	49981	56656	56731	
AEAD	LWC_ALGO_ASCON_128av12	O3	4360	112	1612	21240	21338	28134	28166	34911	35010	35109	35209	41927	41962	21623	21729	28516	28624	35290	35405	35493	35667	42239	42421	28650	28713	35476	35608	42318	42453	42518	42588	49267	49404	29032	29171	35930	36074	42707	42846	42900	42976	49651	49797	35965	36098	42854	42995	49633	49773	49834	49972	56643	56729	
