type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_ACEHASH256v1	O0	2668	112	1612	2338773	2805423	3272914	4208127	6078176	9818402	17298930	32260268	62182406	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O1	1268	112	1612	624658	748740	873496	1122941	1621723	2619491	4615165	8606330	16588918	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O2	1308	112	1612	653402	783166	913641	1174547	1696467	2740238	4827820	9002999	17353169	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O3	1788	112	1612	652700	782234	912604	1173262	1694458	2736957	4821747	8991596	17330924	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Os	1208	112	1612	618431	741213	864742	1111605	1605662	2593508	4569289	8521113	16424364	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Ofast	1788	112	1612	652638	782284	912591	1173173	1694434	2736875	4821820	8991551	17331062	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O0	3804	112	1612	304307	364971	425610	546968	789685	1274811	2245226	4186011	8067821	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O1	1096	112	1612	49548	59517	69609	89449	129202	209055	368338	687095	1324593	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O2	1140	112	1612	50201	60300	70589	90680	130863	211710	373056	695834	1341385	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O3	1140	112	1612	50197	60297	70583	90677	130854	211702	373056	695836	1341390	
HASH	LWC_ALGO_HASH_ASCONHASHv12	Os	1140	112	1612	64226	77297	90102	115852	167534	270797	477080	889876	1715455	
HASH	LWC_ALGO_HASH_ASCONHASHv12	Ofast	1140	112	1612	50203	60294	70582	90672	130855	211707	373003	695836	1341349	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O0	3800	112	1612	304304	364991	425673	546958	789629	1274813	2245211	4185894	8067832	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O1	1096	112	1612	49546	59454	69607	89450	129201	209049	368339	687111	1324598	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O2	1140	112	1612	50200	60297	70518	90680	130859	211707	373063	695760	1341366	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O3	1140	112	1612	50197	60293	70517	90675	130854	211713	373061	695758	1341384	
HASH	LWC_ALGO_HASH_ASCONXOFv12	Os	1136	112	1612	64219	77299	90109	115841	167528	270781	477087	889818	1715444	
HASH	LWC_ALGO_HASH_ASCONXOFv12	Ofast	1140	112	1612	50201	60298	70575	90679	130858	211705	373070	695833	1341395	
HASH	LWC_ALGO_HASH_DRYGASCON128	O0	6840	112	1612	295941	295975	295956	509270	936171	1789719	3496868	6910923	13739252	
HASH	LWC_ALGO_HASH_DRYGASCON128	O1	5248	112	1612	113395	113408	113404	193863	355057	677043	1321140	2609178	5185639	
HASH	LWC_ALGO_HASH_DRYGASCON128	O2	5236	112	1612	111061	111077	111081	189848	347522	662788	1293099	2553875	5075634	
HASH	LWC_ALGO_HASH_DRYGASCON128	O3	6312	112	1612	65456	65476	65479	111037	202122	383857	747808	1475392	2930684	
HASH	LWC_ALGO_HASH_DRYGASCON128	Os	5124	112	1612	138297	138318	138333	236774	433952	828167	1616666	3193661	6347731	
HASH	LWC_ALGO_HASH_DRYGASCON128	Ofast	6312	112	1612	65454	65475	65479	111031	202072	383864	747788	1475419	2930655	
HASH	LWC_ALGO_HASH_DRYGASCON256	O0	7800	112	1612	791459	791487	791468	1090142	1687718	2882752	5273108	10053668	19614642	
HASH	LWC_ALGO_HASH_DRYGASCON256	O1	5432	112	1612	286657	286676	286675	393751	607605	1035388	1891108	3602595	7025777	
HASH	LWC_ALGO_HASH_DRYGASCON256	O2	5464	112	1612	282732	282754	282688	388111	599376	1021362	1865622	3554007	6930740	
HASH	LWC_ALGO_HASH_DRYGASCON256	O3	7432	112	1612	158806	158824	158829	217667	335315	570403	1040912	1982006	3863789	
HASH	LWC_ALGO_HASH_DRYGASCON256	Os	5272	112	1612	356560	356581	356655	489481	755131	1286472	2349167	4474885	8725945	
HASH	LWC_ALGO_HASH_DRYGASCON256	Ofast	7432	112	1612	158802	158829	158817	217618	335322	570474	1040900	1982037	3863808	
HASH	LWC_ALGO_HASH_GIMLI_GIMLI24V1	O0	1156	112	1612	163999	164520	246332	328949	493619	823167	1482345	2800750	5437544	
HASH	LWC_ALGO_HASH_GIMLI_GIMLI24V1	O1	808	112	1612	49098	49330	73640	98039	146978	244654	440206	831396	1613680	
HASH	LWC_ALGO_HASH_GIMLI_GIMLI24V1	O2	764	112	1612	53479	53698	80142	106541	159675	265892	478047	902438	1751311	
HASH	LWC_ALGO_HASH_GIMLI_GIMLI24V1	O3	1428	112	1612	53493	53676	80001	106237	159059	264644	475527	897298	1741037	
HASH	LWC_ALGO_HASH_GIMLI_GIMLI24V1	Os	704	112	1612	49173	49321	73648	97850	146537	243764	438208	827332	1605427	
HASH	LWC_ALGO_HASH_GIMLI_GIMLI24V1	Ofast	1428	112	1612	53490	53607	80002	106316	159070	264633	475529	897374	1741111	
HASH	LWC_ALGO_HASH_KNOT_256V1	O0	2976	240	1612	82856	163042	243037	403194	723271	1363199	2643514	5203733	10324305	
HASH	LWC_ALGO_HASH_KNOT_256V1	O1	800	240	1612	16776	32985	49196	81824	146871	276963	537145	1057564	2098396	
HASH	LWC_ALGO_HASH_KNOT_256V1	O2	864	240	1612	21703	42766	63834	106241	190721	360079	698600	1375498	2729562	
HASH	LWC_ALGO_HASH_KNOT_256V1	O3	1144	240	1612	19422	38165	56782	94308	169284	319045	618833	1218204	2416807	
HASH	LWC_ALGO_HASH_KNOT_256V1	Os	796	240	1612	20700	40704	60773	100989	181347	342128	663488	1305995	2591418	
HASH	LWC_ALGO_HASH_KNOT_256V1	Ofast	1144	240	1612	19489	38165	56781	94376	169285	319030	618772	1218151	2416825	
