type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_AES_GCM_MBED_TLS	O0	14180	116	4216	197296	21830	60516	61120	60860	61464	79902	80570	80243	80914	63581	64319	82625	83294	82971	83638	101790	102458	102199	102867	64270	64940	83314	83983	83657	84327	102539	103211	102821	103490	86454	87121	105211	105944	105555	106290	124439	125109	124784	125453	87076	87746	105964	106567	106241	106977	125129	125781	125471	126141	
AEAD	LWC_ALGO_AES_GCM_MBED_TLS	O1	6272	116	4216	82468	16636	20197	20463	20227	20496	21926	22195	22022	22291	22054	22373	23824	24074	23852	24105	25615	25870	25647	25966	22381	22620	24020	24257	24180	24419	25816	26118	25977	26148	26009	26163	27712	27866	27805	28028	29506	29727	29602	29757	26270	26411	27977	28180	28005	28277	29770	29974	29798	30072	
AEAD	LWC_ALGO_AES_GCM_MBED_TLS	O2	7300	116	4216	84842	18415	22008	22273	22114	22386	23881	24153	23993	24331	24834	25054	26531	26885	26710	26994	28476	28764	28589	28875	25073	25311	26837	27141	26949	27252	28716	29018	28826	29066	29578	29898	31276	31662	31454	31772	33220	33539	33333	33718	29818	30153	31580	31918	31693	32029	33462	33797	33574	33909	
AEAD	LWC_ALGO_AES_GCM_MBED_TLS	O3	11048	116	4216	88317	18230	22606	22803	22617	22880	24917	25117	24927	25058	25387	25665	27695	27905	27707	27917	29941	30151	29952	30164	25683	25847	27927	28155	27937	28164	30171	30400	30183	30411	30704	30950	32946	33190	32957	33199	35193	35436	35202	35444	30937	31196	33178	33438	33189	33449	35423	35683	35496	35764	
AEAD	LWC_ALGO_AES_GCM_MBED_TLS	Os	5464	116	4216	91407	17475	21490	21772	21594	21876	23569	23916	23739	24020	23804	24045	25716	26086	25818	26193	27862	28100	27965	28204	24053	24381	25964	26360	26133	26400	28110	28439	28213	28542	28279	28631	30253	30606	30359	30712	32334	32753	32438	32791	28528	28903	30503	30878	30607	30984	32582	32958	32687	33063	
AEAD	LWC_ALGO_AES_GCM_MBED_TLS	Ofast	11048	116	4216	88382	18294	22609	22866	22682	22879	24916	25047	24863	25124	25454	25664	27629	27908	27641	27919	29939	30152	29885	30163	25619	25914	27861	28154	27872	28166	30170	30401	30183	30412	30704	30947	32945	33191	32956	33266	35257	35499	35202	35444	30937	31196	33178	33437	33189	33448	35487	35747	35433	35693	
AEAD	LWC_ALGO_ACE_128v1	O0	7212	112	1612	2808988	2807950	3742819	3742837	4210266	4210430	4677820	4677899	5145309	5145495	3275661	3275688	4210546	4210629	4678032	4678186	5145625	5145635	5613095	5613108	3743584	3743658	4678218	4678293	5145766	5145896	5613294	5613326	6080799	6080874	4211254	4211365	5146001	5146011	5613475	5613583	6080994	6081171	6548559	6548613	4678982	4679148	5613703	5613760	6081175	6081275	6548774	6548847	7016442	7016590	
AEAD	LWC_ALGO_ACE_128v1	O1	4916	112	1612	750403	749656	999113	999148	1123859	1123909	1248571	1248618	1373058	1373161	874454	874497	1123867	1123928	1248657	1248703	1373145	1373274	1497904	1498049	999228	999252	1248665	1248755	1373246	1373306	1497950	1498067	1622713	1622774	1123993	1124078	1373268	1373353	1498054	1498075	1622797	1622834	1747511	1747612	1248753	1248889	1498082	1498199	1622772	1622943	1747558	1747670	1872321	1872431	
AEAD	LWC_ALGO_ACE_128v1	O2	4804	112	1612	784883	784140	1044983	1045024	1175519	1175471	1305933	1306010	1436453	1436496	914619	914679	1175518	1175650	1306045	1306052	1436527	1436611	1567000	1567066	1045175	1045274	1306079	1306100	1436556	1436661	1567002	1567119	1697508	1697605	1175605	1175760	1436582	1436714	1567081	1567197	1697523	1697653	1828004	1828137	1306153	1306284	1567098	1567262	1697574	1697717	1828012	1828187	1958573	1958654	
AEAD	LWC_ALGO_ACE_128v1	O3	6264	112	1612	783889	783003	1043767	1043674	1174054	1173970	1304372	1304206	1434567	1434560	913434	913355	1174061	1173966	1304327	1304348	1434686	1434612	1564976	1564950	1043732	1043694	1304424	1304299	1434647	1434676	1565019	1564949	1695310	1695275	1174112	1174010	1434669	1434714	1565012	1564994	1695321	1695305	1825627	1825579	1304349	1304350	1565052	1565022	1695338	1695316	1825651	1825608	1955913	1955896	
