type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_SHA256_MBTLS	O0	10180	116	1612	28840	28873	28889	28987	54066	79389	129660	230644	432456	
HASH	LWC_ALGO_HASH_SHA256_MBTLS	O1	3456	116	1612	10268	10323	10275	10373	17229	24173	38193	66243	121991	
HASH	LWC_ALGO_HASH_SHA256_MBTLS	O2	3752	116	1612	11750	11804	11753	11850	20217	28727	45686	79803	147832	
HASH	LWC_ALGO_HASH_SHA256_MBTLS	O3	4304	116	1612	12110	12163	12179	12145	21002	29741	47482	83108	153956	
HASH	LWC_ALGO_HASH_SHA256_MBTLS	Os	3524	116	1612	10672	10671	10753	10786	18068	25436	40305	70049	129256	
HASH	LWC_ALGO_HASH_SHA256_MBTLS	Ofast	4304	116	1612	12044	12163	12179	12212	20936	29807	47483	83042	153954	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O0	2668	112	1612	2338773	2805376	3272932	4208152	6078159	9818400	17298932	32260135	62182388	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O1	1272	112	1612	624658	748739	873494	1122952	1621707	2619493	4615171	8606394	16588904	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O2	1308	112	1612	653393	783173	913641	1174619	1696505	2740277	4827920	9002989	17353249	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O3	1788	112	1612	652697	782285	912599	1173188	1694451	2736883	4821842	8991579	17330978	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Os	1208	112	1612	618420	741199	864740	1111518	1605654	2593512	4569357	8521123	16424439	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Ofast	1788	112	1612	652638	782294	912593	1173250	1694435	2736882	4821789	8991573	17330964	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O0	3804	112	1612	304307	364993	425600	547023	789641	1274801	2245226	4186018	8067900	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O1	1100	112	1612	49548	59515	69609	89511	129200	209055	368340	687113	1324674	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O2	1140	112	1612	50201	60300	70585	90614	130869	211786	372992	695772	1341401	
