type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ACE_128v1	O0	6496	112	1544	2102993	2102160	2801735	2801827	3151941	3152009	3501935	3501941	3851891	3851995	2452250	2452323	3152116	3152217	3502129	3502189	3852113	3852152	4202276	4202322	2802451	2802493	3502263	3502393	3852261	3852336	4202452	4202493	4552402	4552508	3152754	3152850	3852428	3852484	4202618	4202705	4552599	4552711	4902545	4902628	3502858	3503008	4202752	4202887	4552772	4552882	4902688	4902846	5252919	5253002	
AEAD	LWC_ALGO_ACE_128v1	O1	4864	112	1544	534301	533661	711025	711095	799900	799973	888632	888655	977302	977392	622378	622455	799952	800016	888682	888696	977361	977441	1066292	1066320	711142	711229	888657	888800	977394	977548	1066281	1066402	1155000	1155102	800050	800146	977425	977521	1066343	1066390	1155080	1155174	1243727	1243859	888755	888904	1066323	1066494	1155051	1155167	1243784	1243896	1332691	1332764	
AEAD	LWC_ALGO_ACE_128v1	O2	4940	112	1544	660265	659418	878743	878759	988569	988615	1098117	1098219	1207924	1207969	769019	769080	988586	988646	1098153	1098261	1207967	1208016	1317795	1317878	878821	878916	1098216	1098261	1208016	1208057	1317829	1317913	1427394	1427463	988622	988752	1208011	1208120	1317779	1317879	1427439	1427490	1537222	1537301	1098250	1098322	1317844	1317968	1427428	1427529	1537214	1537317	1647004	1647152	
AEAD	LWC_ALGO_ACE_128v1	O3	6044	112	1544	487968	487345	649412	649442	730650	730674	811693	811767	892688	892818	568334	568472	730618	730743	811648	811806	892770	892849	973806	973896	649379	649530	811674	811827	892773	892855	973795	973923	1055054	1055132	730671	730723	892770	892888	973817	973931	1055053	1055175	1136106	1136277	811666	811848	973827	973940	1055070	1055190	1136101	1136238	1217155	1217287	
AEAD	LWC_ALGO_ACE_128v1	Os	4544	112	1544	536198	535575	713595	713594	802851	802870	891865	891931	980873	980948	624581	624670	802834	802925	891909	891981	980886	980984	1070102	1070250	713654	713784	891900	892013	980965	981092	1070130	1070291	1159218	1159350	802895	803027	980928	981067	1070180	1070332	1159183	1159326	1248454	1248583	891951	892081	1070186	1070366	1159213	1159387	1248474	1248639	1337520	1337648	
AEAD	LWC_ALGO_ACE_128v1	Ofast	6044	112	1544	487965	487396	649359	649496	730589	730724	811620	811768	892727	892830	568384	568466	730650	730760	811713	811813	892757	892806	973742	973887	649438	649524	811729	811827	892762	892803	973816	973916	1055049	1055152	730623	730775	892730	892892	973820	973874	1055061	1055172	1136098	1136226	811732	811848	973817	973901	1055027	1055179	1136098	1136224	1217150	1217278	
AEAD	LWC_ALGO_ASCON_128av12	O0	7628	112	1544	38417	38710	50751	51054	63016	63321	63427	63726	75901	76142	39068	39373	51458	51761	63724	64028	64132	64435	76603	76913	51712	52020	64053	64355	76520	76831	76933	77237	89193	89490	52366	52681	64755	65071	77232	77544	77634	77955	89903	90162	64954	65277	77551	77865	89771	90133	90177	90539	102442	102750	
AEAD	LWC_ALGO_ASCON_128av12	O1	3776	112	1544	13634	13680	17977	18076	22290	22393	22445	22603	26757	26910	13919	14015	18261	18361	22628	22729	22731	22834	27041	27195	18355	18475	22696	22823	27063	27136	27165	27346	31527	31655	18694	18758	22980	23106	27346	27419	27502	27577	31815	31938	23115	23243	27458	27587	31771	31902	31925	32061	36237	36369	
AEAD	LWC_ALGO_ASCON_128av12	O2	3900	112	1544	13635	13631	17989	18035	22294	22341	22436	22540	26737	26838	13915	13966	18268	18320	22625	22677	22715	22768	27071	27121	18348	18464	22705	22765	27059	27070	27203	27266	31507	31565	18629	18698	23036	23048	27340	27407	27485	27497	31787	31849	23104	23167	27459	27520	31763	31822	31905	31966	36205	36317	
AEAD	LWC_ALGO_ASCON_128av12	O3	3896	112	1544	13630	13631	17983	18035	22289	22341	22431	22539	26731	26836	13913	13966	18265	18319	22623	22680	22713	22769	27067	27120	18347	18465	22700	22765	27059	27070	27202	27270	31500	31566	18630	18696	23034	23049	27341	27407	27483	27498	31782	31848	23102	23165	27455	27520	31760	31822	31901	31970	36203	36266	
