type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_ACEHASH256v1	O0	2312	112	1544	1750899	2100254	2450254	3150394	4550459	7350910	12951534	24152981	46555896	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O1	1340	112	1544	444620	532929	621655	799173	1154220	1864432	3284740	6125201	11806417	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O2	1496	112	1544	549763	658827	768376	988024	1426898	2304999	4060767	7572774	14596652	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O3	1904	112	1544	406459	486934	567971	730222	1054547	1702989	3000305	5595002	10784143	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Os	1264	112	1544	446332	535008	624022	802313	1158688	1871700	3297617	6149331	11852895	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Ofast	1904	112	1544	406462	486882	567964	730220	1054539	1703039	3000375	5595030	10784188	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O0	2208	112	1544	90714	108854	126989	163531	236291	381877	673234	1255780	2420747	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O1	996	112	1544	31821	38195	44566	57360	83136	134498	236925	442036	852383	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O2	992	112	1544	31894	38264	44631	57417	83182	134514	236873	441833	851731	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O3	992	112	1544	31896	38265	44631	57417	83182	134514	236873	441833	851731	
HASH	LWC_ALGO_HASH_ASCONHASHv12	Os	996	112	1544	34911	41944	48931	62944	91169	147379	259714	484585	934247	
HASH	LWC_ALGO_HASH_ASCONHASHv12	Ofast	992	112	1544	31894	38319	44686	57467	83176	134506	236871	441849	851756	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O0	2208	112	1544	90716	108846	126993	163524	236296	381874	673241	1255820	2420742	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O1	996	112	1544	31821	38195	44566	57357	83133	134448	236929	442028	852383	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O2	992	112	1544	31895	38267	44628	57413	83171	134490	236843	441788	851630	
