type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ACE_128v1	O0	6504	112	1616	1992352	1991586	2654510	2654625	2986150	2986263	3317798	3317894	3649430	3649554	2323312	2323432	2986349	2986481	3318004	3318132	3649604	3649752	3981291	3981399	2655133	2655255	3318167	3318298	3649771	3649914	3981432	3981547	4313115	4313209	2986982	2987082	3649930	3650046	3981612	3981722	4313262	4313399	4644849	4644983	3318752	3318894	3981739	3981899	4313412	4313503	4645073	4645131	4976700	4976813	
AEAD	LWC_ALGO_ACE_128v1	O1	4872	112	1616	546815	546239	727873	727944	818711	818795	909546	909605	1000502	1000582	637010	637052	818772	818821	909607	909642	1000613	1000698	1091411	1091466	728059	728083	909619	909676	1000654	1000706	1091426	1091495	1182443	1182448	818924	818976	1000630	1000695	1091513	1091520	1182472	1182534	1273317	1273370	909719	909798	1091492	1091535	1182504	1182560	1273296	1273407	1364110	1364190	
AEAD	LWC_ALGO_ACE_128v1	O2	5004	112	1616	656834	656016	874214	874227	983468	983532	1092476	1092535	1201744	1201788	765044	765040	983498	983514	1092509	1092578	1201755	1201824	1310992	1311074	874248	874358	1092520	1092590	1201764	1201858	1311014	1311078	1420076	1420156	983496	983559	1201781	1201863	1311026	1311116	1420038	1420182	1529293	1529407	1092578	1092662	1311043	1311112	1420036	1420191	1529260	1529424	1638351	1572892	
AEAD	LWC_ALGO_ACE_128v1	O3	6040	112	1616	467653	467039	622313	622408	700009	700024	777674	777693	855533	855597	544658	544739	699965	700104	777642	777783	855496	855574	933204	933295	622339	622417	777693	777737	855560	855641	933164	933264	1010850	1010940	700007	700067	855560	855663	933181	933287	1010888	1010950	1088502	1088635	777683	777788	933184	933288	1010888	1010964	1088530	1088630	1166196	1166308	
AEAD	LWC_ALGO_ACE_128v1	Os	4548	112	1616	547305	546674	728554	728611	819525	819573	910342	910449	1001488	1001567	637543	637642	819556	819577	910398	910473	1001520	1001609	1092391	1092475	728670	728767	910415	910510	1001520	1001569	1092403	1092499	1183508	1183601	819565	819683	1001544	1001656	1092399	1092529	1183508	1183634	1274445	1274566	910480	910556	1092488	1092602	1183525	1183665	1274458	1274533	1365376	1365519	
AEAD	LWC_ALGO_ACE_128v1	Ofast	6040	112	1616	467662	467044	622326	622350	699995	700073	777599	777747	855478	855552	544661	544739	700008	700101	777679	777772	855489	855633	933174	933249	622344	622371	777684	777718	855552	855593	933175	933267	1010887	1010936	700003	700110	855513	855599	933237	933336	1010843	1011008	1088498	1088631	777695	777744	933216	933336	1010848	1010968	1088508	1088645	1166203	1166307	
AEAD	LWC_ALGO_ASCON_128av12	O0	7632	112	1616	37746	37648	49950	49642	62018	61572	62412	61918	74681	74043	38474	38287	50630	50333	62698	62206	63088	62655	75368	74781	50821	50517	63017	62573	75237	74690	75688	75092	87707	87023	51497	51208	63694	63261	75966	75384	76310	75780	88386	87708	63887	63444	76296	75631	88311	87569	88754	88016	100777	99885	
AEAD	LWC_ALGO_ASCON_128av12	O1	3780	112	1616	13543	13668	17913	18082	22203	22466	22306	22558	26645	26886	13827	13993	18144	18355	22435	22689	22643	22831	26932	27207	18237	18475	22557	22888	26847	27222	27002	27366	31342	31690	18574	18748	22840	23111	27183	27495	27337	27586	31626	31964	22977	23255	27243	27616	31585	31947	31737	32092	36079	36420	
AEAD	LWC_ALGO_ASCON_128av12	O2	3896	112	1616	13639	13656	18039	18055	22346	22418	22449	22527	26809	26829	13934	14006	18278	18354	22589	22663	22795	22823	27104	27178	18371	18457	22770	22855	27023	27164	27180	27327	31540	31628	18666	18806	23010	23101	27370	27412	27527	27571	31832	31929	23145	23229	27491	27578	31800	31888	31954	32047	36316	36400	
AEAD	LWC_ALGO_ASCON_128av12	O3	3888	112	1616	13634	13656	18029	18054	22337	22420	22442	22524	26800	26828	13930	14006	18274	18353	22581	22664	22791	22822	27098	27178	18369	18456	22764	22855	27022	27166	27231	27327	31537	31629	18666	18806	23010	23101	27373	27411	27528	27623	31833	31926	23143	23227	27487	27578	31794	31886	31952	32045	36311	36401	
