type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_ACEHASH256v1	O0	18488	112	1616	1658926	1989759	2321399	2984662	4311233	6964654	12271067	22883997	44109889	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O1	17076	112	1616	455114	545517	636290	818110	1181722	1908736	3362667	6270690	12086864	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O2	17304	112	1616	546909	655207	764448	982762	1419515	2292875	4039783	7533421	14520995	
HASH	LWC_ALGO_HASH_ACEHASH256v1	O3	17552	112	1616	389347	466595	544268	699594	1010375	1631796	2874813	5360946	10333060	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Os	16952	112	1616	455571	546091	636992	818988	1182927	1910750	3366404	6277495	12099996	
HASH	LWC_ALGO_HASH_ACEHASH256v1	Ofast	17552	112	1616	389348	466653	544263	699603	1010381	1631812	2874852	5360932	10333066	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O0	18384	112	1616	88101	105732	123372	158894	229633	371240	654258	1220542	2353056	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O1	16732	112	1616	32075	38482	44884	57745	83648	135261	238210	444335	856775	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O2	16732	112	1616	31811	38184	44552	57340	83156	134384	236777	441777	851807	
HASH	LWC_ALGO_HASH_ASCONHASHv12	O3	16748	112	1616	31811	38184	44552	57340	83156	134384	236777	441777	851807	
HASH	LWC_ALGO_HASH_ASCONHASHv12	Os	16700	112	1616	34742	41742	48689	62587	90676	146657	258396	482220	929737	
HASH	LWC_ALGO_HASH_ASCONHASHv12	Ofast	16748	112	1616	31810	38236	44605	57343	83107	134437	236826	441846	851802	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O0	18384	112	1616	88097	105742	123375	158840	229646	371203	654252	1220575	2353031	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O1	16732	112	1616	32076	38483	44937	57741	83698	135213	238211	444343	856733	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O2	16732	112	1616	31759	38184	44603	57337	83147	134373	236740	441732	851733	
HASH	LWC_ALGO_HASH_ASCONXOFv12	O3	16748	112	1616	31759	38184	44603	57337	83147	134373	236740	441732	851733	
HASH	LWC_ALGO_HASH_ASCONXOFv12	Os	16696	112	1616	34742	41743	48692	62643	90673	146669	258403	482281	929734	
HASH	LWC_ALGO_HASH_ASCONXOFv12	Ofast	16748	112	1616	31814	38184	44605	57338	83096	134421	236796	441730	851680	
HASH	LWC_ALGO_HASH_DRYGASCON128	O0	22600	112	1616	202613	202623	202585	348416	640075	1223617	2390677	4724839	9393025	
HASH	LWC_ALGO_HASH_DRYGASCON128	O1	20792	112	1616	73286	73340	73320	124997	228760	435984	850629	1679920	3338394	
HASH	LWC_ALGO_HASH_DRYGASCON128	O2	20772	112	1616	70375	70425	70357	120103	220028	419625	818731	1617030	3213829	
HASH	LWC_ALGO_HASH_DRYGASCON128	O3	21888	112	1616	37913	37966	37896	64360	117404	223559	435624	860005	1708523	
HASH	LWC_ALGO_HASH_DRYGASCON128	Os	20568	112	1616	77237	77239	77220	131895	241135	459959	897184	1772059	3521364	
HASH	LWC_ALGO_HASH_DRYGASCON128	Ofast	21888	112	1616	37913	37915	37947	64360	117412	223565	435633	859990	1708506	
HASH	LWC_ALGO_HASH_DRYGASCON256	O0	22900	112	1616	518726	518747	518765	714590	1106205	1889516	3456116	6589315	12855766	
HASH	LWC_ALGO_HASH_DRYGASCON256	O1	20856	112	1616	188908	188908	188942	258686	398395	677450	1235453	2351806	4584393	
HASH	LWC_ALGO_HASH_DRYGASCON256	O2	20900	112	1616	179803	179805	179786	246780	380651	648412	1184201	2255376	4397904	
HASH	LWC_ALGO_HASH_DRYGASCON256	O3	22800	112	1616	90896	90897	90881	124810	192892	329126	601313	1145653	2234596	
HASH	LWC_ALGO_HASH_DRYGASCON256	Os	20672	112	1616	195898	195949	195879	269041	414947	706756	1290608	2458230	4793570	
HASH	LWC_ALGO_HASH_DRYGASCON256	Ofast	22800	112	1616	90949	90949	90879	124852	192892	329191	601344	1145622	2234546	
